n,t_ome,t_to,type
10,0.000124122,4.5396e-5,line
12,0.000161237,5.7484e-5,line
14,0.000207582,6.8845e-5,line
16,0.000268009,8.1474e-5,line
18,0.0003436,9.4673e-5,line
20,0.000419566,0.00011052,line
22,0.000494176,0.000133193,line
24,0.000576658,0.000157833,line
26,0.000668324,0.000181016,line
28,0.000770048,0.000210387,line
30,0.000877024,0.000235128,line
10,0.000117674,7.0492e-5,tree
10,0.000116701,6.9455e-5,tree
10,0.000117139,0.000307784,tree
10,0.000112744,6.9654e-5,tree
10,0.000111289,0.000118289,tree
10,0.000116761,6.7538e-5,tree
10,0.000114632,0.000119633,tree
10,0.000110649,0.00011587,tree
10,0.000112012,0.000109381,tree
10,0.000121028,6.7129e-5,tree
12,0.00014717,0.000257808,tree
12,0.000142982,0.000255227,tree
12,0.000147258,0.000253191,tree
12,0.000142176,0.00025764,tree
12,0.000148511,0.000241471,tree
12,0.000149642,0.000102683,tree
12,0.00014794,0.000246601,tree
12,0.00014334,0.000737167,tree
12,0.000151901,0.000229112,tree
12,0.000148124,0.000258254,tree
14,0.000186894,0.000448446,tree
14,0.000181856,0.000480981,tree
14,0.000175335,0.001175882,tree
14,0.000185615,0.000497852,tree
14,0.00018569,0.000512647,tree
14,0.000179605,0.000495349,tree
14,0.0001865,0.002032723,tree
14,0.000189381,0.000473,tree
14,0.000184549,0.000465349,tree
14,0.000187578,0.001056013,tree
16,0.000232244,0.000833742,tree
16,0.000220337,0.000845315,tree
16,0.000238474,0.004315205,tree
16,0.000240669,0.002012633,tree
16,0.000227615,0.004758363,tree
16,0.000233264,0.000843414,tree
16,0.000211786,0.000822488,tree
16,0.00023086,0.002062596,tree
16,0.000243936,0.000835676,tree
16,0.000234241,0.000853782,tree
18,0.00028885,0.001415282,tree
18,0.000299311,0.003682969,tree
18,0.000293048,0.004028599,tree
18,0.000310275,0.00144462,tree
18,0.000305687,0.000352034,tree
18,0.000315003,0.001269359,tree
18,0.000270395,0.001391672,tree
18,0.000289652,0.004111552,tree
18,0.000277696,0.004065114,tree
18,0.000293223,0.001372046,tree
20,0.00033827,0.00200614,tree
20,0.000324058,0.002249541,tree
20,0.000326852,0.002027531,tree
20,0.000331044,0.008077652,tree
20,0.000348312,0.021729421,tree
20,0.000360637,0.261136925,tree
20,0.000357432,0.007486778,tree
20,0.00033735,0.007375634,tree
20,0.000314333,0.008182845,tree
20,0.000353319,0.002104303,tree
22,0.000449777,0.035423016,tree
22,0.000429372,0.010615641,tree
22,0.000446968,0.0104644,tree
22,0.000435889,0.00324625,tree
22,0.000427381,0.039378125,tree
22,0.000435375,0.00317042,tree
22,0.000438072,0.012153635,tree
22,0.000442016,0.002974816,tree
22,0.00037927,0.014056214,tree
22,0.00040818,0.011269108,tree
24,0.000486958,0.018161918,tree
24,0.000502151,0.020691765,tree
24,0.000483579,0.019764916,tree
24,0.000496042,0.060935313,tree
24,0.000431708,0.02272633,tree
24,0.000483353,0.020140998,tree
24,0.000480967,0.02259945,tree
24,0.000478113,0.02329579,tree
24,0.000493813,0.065708639,tree
24,0.000507546,0.512359654,tree
26,0.000555076,0.146772044,tree
26,0.000497616,0.038653781,tree
26,0.000556051,0.160124507,tree
26,0.000538188,0.006937292,tree
26,0.000512462,0.157135752,tree
26,0.000499366,0.743583604,tree
26,0.000551977,0.006518286,tree
26,0.000517844,0.034542223,tree
26,0.000513541,0.033368085,tree
26,0.00058855,0.006174301,tree
28,0.000672368,0.259722426,tree
28,0.000632827,0.058655658,tree
28,0.000649353,0.051024699,tree
28,0.000643615,0.051129611,tree
28,0.000647094,0.008488228,tree
28,0.000629094,0.008350005,tree
28,0.000640143,0.007798487,tree
28,0.000649867,0.053369084,tree
28,0.000675027,0.046866947,tree
28,0.000601281,0.372639054,tree
30,0.000667596,0.097932088,tree
30,0.000716205,0.628720273,tree
30,0.000815643,26.780014614,tree
30,0.000735539,0.46562351,tree
30,0.000682498,0.078037885,tree
30,0.00074635,0.077954993,tree
30,0.000738185,0.090417522,tree
30,0.000749944,0.430931153,tree
30,0.000735639,0.084502981,tree
30,0.000742384,0.474107147,tree
10,0.002413093,0.000100453,d3
10,0.002410076,0.000100727,d3
10,0.001397322,0.000110789,d3
10,0.00231126,0.00010032,d3
10,0.00244102,0.000100804,d3
10,0.003916161,0.000633002,d3
10,0.002409238,0.000101503,d3
10,0.004735406,0.000586673,d3
10,0.003576834,0.00063335,d3
10,0.002309235,0.000102024,d3
12,0.00775731,0.001145009,d3
12,0.00781753,0.000145472,d3
12,0.004832081,0.000162729,d3
12,0.016727093,0.001179308,d3
12,0.004547031,0.000159329,d3
12,0.018269718,0.001037198,d3
12,0.014464392,0.001177177,d3
12,0.017502874,0.001146255,d3
12,0.018844039,0.001100296,d3
12,0.019296275,0.001134435,d3
14,0.044168901,0.00221406,d3
14,0.04063633,0.002421393,d3
14,0.095030954,0.001749179,d3
14,0.024270394,0.000209803,d3
14,0.054710091,0.002184916,d3
14,0.024449164,0.002112661,d3
14,0.044901863,0.001953676,d3
14,0.032518612,0.000210278,d3
14,0.139840181,0.008578402,d3
14,0.016837646,0.000217185,d3
16,0.008718624,0.000334121,d3
16,0.398467728,0.01618966,d3
16,0.231930322,0.002610206,d3
16,0.367802197,0.002561119,d3
16,0.301536392,0.002881021,d3
16,0.13397885,0.003953076,d3
16,0.379490571,0.002351607,d3
16,0.350869553,0.002456086,d3
16,0.502313603,0.014306945,d3
16,0.481692922,0.002325005,d3
18,3.923724457,0.022691845,d3
18,0.015403286,0.000575528,d3
18,0.887766438,0.003950924,d3
18,2.417626109,0.025168392,d3
18,1.1195393,0.002891985,d3
18,3.176692323,0.021947895,d3
18,3.203434502,0.02161173,d3
18,0.317482343,0.00343928,d3
18,1.427242828,0.004258755,d3
18,3.021632186,0.021626522,d3
20,32.972921505,0.170312442,d3
20,11.770535252,0.038688051,d3
20,10.561399361,0.034971192,d3
20,4.149420532,0.004176622,d3
20,6.946368008,0.037425437,d3
20,25.96685352,0.025760928,d3
20,23.684180469,0.029670708,d3
20,26.314752444,0.024303547,d3
20,0.038661716,0.004648367,d3
20,1.676144705,0.004923396,d3
7,7.7621e-5,3.0714e-5,grid
7,8.6771e-5,3.5111e-5,grid
7,7.7349e-5,3.0511e-5,grid
7,0.000110527,4.6917e-5,grid
7,8.7808e-5,3.5222e-5,grid
7,0.00011378,5.9882e-5,grid
7,8.7819e-5,3.5114e-5,grid
7,7.0034e-5,3.7824e-5,grid
7,0.0001108,5.953e-5,grid
7,8.7004e-5,3.5205e-5,grid
10,0.000153771,5.2706e-5,grid
10,0.000298451,7.0336e-5,grid
10,0.000302453,0.000191552,grid
10,0.00018392,0.000103627,grid
10,0.000153954,5.2709e-5,grid
10,0.000308012,0.000193144,grid
10,0.000316867,0.00019096,grid
10,0.000302448,0.000206645,grid
10,0.000193209,0.000104535,grid
12,0.000301586,0.000183801,grid
12,0.000318175,0.000108343,grid
12,0.000846947,0.000220892,grid
12,0.000281101,9.9083e-5,grid
12,0.000629746,9.2538e-5,grid
12,0.000633691,0.000132061,grid
12,0.001376847,0.0008912,grid
12,0.000608649,0.000318812,grid
12,0.000537461,0.000254653,grid
12,0.000208243,6.9336e-5,grid
13,0.000409861,0.000261044,grid
13,0.000276258,0.000106339,grid
13,0.000389911,0.000266364,grid
13,0.001952563,0.000537808,grid
13,0.00046935,0.00042053,grid
13,0.00128359,0.000256738,grid
13,0.001034841,0.000631777,grid
16,0.00060475,0.00079109,grid
16,0.002032358,0.001143009,grid
16,0.000340256,0.000112947,grid
16,0.0005625,0.00013236,grid
16,0.000832161,0.000712572,grid
20,0.001141277,0.001431341,grid
20,0.001406764,0.001236273,grid
20,0.001219469,0.000218288,grid
20,0.002567484,0.002310442,grid
20,0.058056378,0.004903963,grid
20,0.001260144,0.007856607,grid
20,0.018639446,0.001926829,grid
