file,type,tw_treewidthsolver,tw_triangulator
m3-n3-i10.gr,grid,2,2
m3-n3-i1.gr,grid,1,1
m3-n3-i2.gr,grid,2,2
m3-n3-i3.gr,grid,1,1
m3-n3-i4.gr,grid,2,2
m3-n3-i5.gr,grid,2,2
m3-n3-i6.gr,grid,2,2
m3-n3-i7.gr,grid,2,2
m3-n3-i8.gr,grid,1,1
m3-n3-i9.gr,grid,2,2
m3-n4-i10.gr,grid,2,2
m3-n4-i1.gr,grid,2,2
m3-n4-i2.gr,grid,2,2
m3-n4-i3.gr,grid,2,2
m3-n4-i5.gr,grid,2,2
m3-n4-i6.gr,grid,2,2
m3-n4-i7.gr,grid,2,2
m3-n4-i8.gr,grid,2,2
m3-n4-i9.gr,grid,2,2
m3-n5-i10.gr,grid,2,2
m3-n5-i1.gr,grid,2,2
m3-n5-i2.gr,grid,2,2
m3-n5-i3.gr,grid,2,2
m3-n5-i4.gr,grid,2,2
m3-n5-i5.gr,grid,2,2
m3-n5-i6.gr,grid,2,2
m3-n5-i7.gr,grid,3,3
m3-n5-i8.gr,grid,2,2
m3-n5-i9.gr,grid,2,2
m3-n6-i3.gr,grid,2,2
m3-n6-i4.gr,grid,2,2
m3-n6-i6.gr,grid,3,3
m3-n6-i7.gr,grid,2,2
m3-n6-i9.gr,grid,2,2
m4-n4-i1.gr,grid,2,2
m4-n4-i2.gr,grid,2,2
m4-n4-i3.gr,grid,2,2
m4-n4-i4.gr,grid,3,3
m4-n4-i5.gr,grid,2,2
m4-n4-i7.gr,grid,2,2
m4-n4-i9.gr,grid,2,2
m4-n5-i10.gr,grid,2,2
m4-n5-i2.gr,grid,2,2
m4-n5-i4.gr,grid,2,2
m4-n5-i6.gr,grid,2,2
m4-n5-i7.gr,grid,2,2
m4-n6-i10.gr,grid,2,2
m4-n6-i1.gr,grid,3,3
m4-n6-i2.gr,grid,3,3
m4-n6-i3.gr,grid,3,3
m4-n6-i5.gr,grid,3,3
m4-n6-i6.gr,grid,3,3
m4-n6-i7.gr,grid,2,2
m4-n6-i8.gr,grid,2,2
m4-n6-i9.gr,grid,2,2
m5-n5-i10.gr,grid,3,3
m5-n5-i2.gr,grid,2,2
m5-n5-i3.gr,grid,2,2
m5-n5-i5.gr,grid,2,2
m5-n5-i6.gr,grid,3,3
m5-n5-i7.gr,grid,3,3
m5-n5-i8.gr,grid,3,3
m5-n6-i1.gr,grid,3,3
m5-n6-i3.gr,grid,3,3
m5-n6-i4.gr,grid,4,4
m5-n6-i6.gr,grid,3,3
m5-n6-i7.gr,grid,3,3
m6-n6-i10.gr,grid,3,3
m6-n6-i3.gr,grid,4,4
m6-n6-i4.gr,grid,3,3
m6-n6-i6.gr,grid,4,4
m6-n6-i7.gr,grid,3,3
m6-n6-i8.gr,grid,4,4
n10-10.gr,d3,3,3
n10-1.gr,d3,3,3
n10-2.gr,d3,3,3
n10-3.gr,d3,3,3
n10-4.gr,d3,3,3
n10-5.gr,d3,3,3
n10-6.gr,d3,4,4
n10-7.gr,d3,3,3
n10-8.gr,d3,4,4
n10-9.gr,d3,4,4
n12-10.gr,d3,4,4
n12-1.gr,d3,4,4
n12-2.gr,d3,3,3
n12-3.gr,d3,3,3
n12-4.gr,d3,4,4
n12-5.gr,d3,3,3
n12-6.gr,d3,4,4
n12-7.gr,d3,4,4
n12-8.gr,d3,4,4
n12-9.gr,d3,4,4
n14-10.gr,d3,3,3
n14-1.gr,d3,4,4
n14-2.gr,d3,3,3
n14-3.gr,d3,4,4
n14-4.gr,d3,3,3
n14-5.gr,d3,4,4
n14-6.gr,d3,4,4
n14-7.gr,d3,4,4
n14-8.gr,d3,3,3
n14-9.gr,d3,4,4
n16-10.gr,d3,4,4
n16-1.gr,d3,3,3
n16-2.gr,d3,4,4
n16-3.gr,d3,4,4
n16-4.gr,d3,4,4
n16-5.gr,d3,4,4
n16-6.gr,d3,4,4
n16-7.gr,d3,4,4
n16-8.gr,d3,4,4
n16-9.gr,d3,4,4
n18-10.gr,d3,5,5
n18-1.gr,d3,4,4
n18-2.gr,d3,3,3
n18-3.gr,d3,4,4
n18-4.gr,d3,4,4
n18-5.gr,d3,4,4
n18-6.gr,d3,5,5
n18-7.gr,d3,5,5
n18-8.gr,d3,4,4
n18-9.gr,d3,4,4
n20-10.gr,d3,4,4
n20-1.gr,d3,5,5
n20-2.gr,d3,4,4
n20-3.gr,d3,4,4
n20-4.gr,d3,4,4
n20-5.gr,d3,4,4
n20-6.gr,d3,4,4
n20-7.gr,d3,5,5
n20-8.gr,d3,5,5
n20-9.gr,d3,3,3
n22-10.gr,d3,4,4
n22-1.gr,d3,5,5
n22-2.gr,d3,5,5
n22-3.gr,d3,4,4
n22-4.gr,d3,5,5
n22-5.gr,d3,4,4
n22-6.gr,d3,3,3
n22-7.gr,d3,4,4
n22-8.gr,d3,4,4
n22-9.gr,d3,5,5
n24-10.gr,d3,6,6
n24-1.gr,d3,4,4
n24-2.gr,d3,4,4
n24-3.gr,d3,5,5
n24-4.gr,d3,5,5
n24-5.gr,d3,4,4
n24-6.gr,d3,6,6
n24-7.gr,d3,6,6
n24-8.gr,d3,4,4
n24-9.gr,d3,4,4
n26-10.gr,d3,4,4
n26-1.gr,d3,5,5
n26-2.gr,d3,5,5
n26-3.gr,d3,5,5
n26-4.gr,d3,5,5
n26-5.gr,d3,6,6
n26-6.gr,d3,5,5
n26-7.gr,d3,5,5
n26-8.gr,d3,6,6
n26-9.gr,d3,5,5
n28-10.gr,d3,4,4
n28-1.gr,d3,5,5
n28-2.gr,d3,5,5
n28-3.gr,d3,5,5
n28-4.gr,d3,5,5
n28-5.gr,d3,6,6
n28-6.gr,d3,5,5
n28-7.gr,d3,5,5
n28-8.gr,d3,5,5
n28-9.gr,d3,6,6
n30-10.gr,d3,5,5
n30-1.gr,d3,5,5
n30-2.gr,d3,5,5
n30-3.gr,d3,6,6
n30-4.gr,d3,6,6
n30-5.gr,d3,6,6
n30-6.gr,d3,4,4
n30-7.gr,d3,5,5
n30-8.gr,d3,5,5
n30-9.gr,d3,5,5
